year,month,start_ts,end_ts,dkk,dkk_x1,dkk_x2,dkk_x3,yield_x4,kWh,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,1,2021-01-01,2021-01-31 23:00:00,351.75,731.45,0.0,205.03,-30.84,2079.45,1790.65,128.39,288.79,169.34,438.96,114.94,100,9,63,400,82.44,818.35,378.34,124.86,0.0,0.52,0.03,0.09
2021,2,2021-02-01,2021-02-28 23:00:00,1218.32,1238.7,0.0,875.04,-120.85,3628.01,2678.04,613.74,949.96,365.6,396.48,378.09,100,9,63,400,167.17,1859.38,405.66,213.48,0.0,0.72,0.07,0.15
2021,4,2021-04-01,2021-04-30 23:00:00,1955.4,2167.69,0.0,711.3,6.38,7055.22,5785.95,1129.66,1269.27,178.86,424.8,505.17,100,9,63,400,-86.21,929.65,355.94,159.46,0.0,0.83,0.15,0.22
2021,5,2021-05-01,2021-05-31 23:00:00,2785.39,2917.91,0.0,1016.49,-15.21,9077.49,7331.66,1649.83,1745.83,150.0,438.96,694.84,100,9,63,400,0.22,757.15,410.53,160.91,0.0,0.83,0.19,0.25
2021,6,2021-06-01,2021-06-30 23:00:00,4346.4,4185.14,0.0,1297.32,9.32,9521.12,7710.63,1775.92,1810.49,90.56,424.8,720.57,100,9,63,400,-194.82,1038.96,547.22,160.96,0.0,0.83,0.2,0.24
2021,7,2021-07-01,2021-07-31 23:00:00,4809.63,4587.82,0.0,1332.67,3.92,9365.27,7667.22,1623.14,1698.05,127.43,438.96,675.82,100,9,63,400,-65.9,1115.42,605.69,163.26,0.0,0.83,0.19,0.23
2021,8,2021-08-01,2021-08-31 23:00:00,4598.69,4327.29,0.0,1372.84,-0.03,8492.6,6828.18,1638.46,1664.42,77.44,438.96,662.44,100,9,63,400,0.3,1078.45,627.41,174.7,0.0,0.81,0.17,0.23
2021,9,2021-09-01,2021-09-30 23:00:00,5275.36,4596.17,0.0,2580.63,-687.49,6795.75,4812.93,976.53,1982.82,1067.62,424.8,789.16,100,9,63,400,214.6,1762.36,921.34,272.81,0.0,0.77,0.11,0.18
2021,11,2021-11-01,2021-11-30 23:00:00,3487.16,2165.2,0.0,3691.66,-1105.82,3902.13,1793.91,126.06,2108.22,2047.36,424.8,839.07,100,9,63,400,10.93,3137.28,1014.28,674.68,0.0,0.49,0.04,0.09
2021,12,2021-12-01,2021-12-31 23:00:00,4657.05,2613.37,0.0,5586.17,-2098.51,4009.61,1484.43,65.36,2525.18,2537.92,438.96,1005.02,100,9,63,400,102.25,4655.38,1420.79,860.57,0.0,0.41,0.03,0.07
2022,1,2022-01-01,2022-01-31 23:00:00,2705.59,1754.14,0.0,2710.79,-588.65,3627.12,1788.6,130.44,1838.52,1764.95,438.96,731.73,100,9,63,400,29.85,2604.76,830.49,570.43,0.0,0.52,0.03,0.09
2022,2,2022-02-01,2022-02-28 23:00:00,2702.26,1814.44,0.0,2771.05,-578.58,4858.67,2576.83,706.63,2281.84,1645.79,396.48,908.17,100,9,63,400,0.22,2402.69,746.24,483.65,0.0,0.72,0.07,0.15
2022,4,2022-04-01,2022-04-30 23:00:00,7782.15,6088.65,0.0,3988.96,-900.74,8124.43,5687.46,1431.81,2436.98,1080.54,424.8,969.92,100,9,63,400,0.82,2243.37,1136.89,574.74,0.0,0.83,0.15,0.22
2022,5,2022-05-01,2022-05-31 23:00:00,10815.36,8454.86,0.0,4050.72,-319.1,9548.12,7206.03,1771.01,2342.09,643.52,438.96,932.15,100,9,63,400,0.22,2219.16,1210.2,576.13,0.0,0.83,0.19,0.25
2022,6,2022-06-01,2022-06-30 23:00:00,14743.08,11154.32,0.0,5713.47,-644.67,10127.37,7476.02,2199.31,2651.35,534.04,424.8,1055.24,100,9,63,400,14.88,3719.5,1586.34,649.04,0.0,0.83,0.2,0.24
2022,7,2022-07-01,2022-07-31 23:00:00,16745.49,11868.33,0.0,7865.14,-1431.85,10233.09,7426.13,1851.03,2806.96,1042.75,438.96,1117.17,100,9,63,400,-0.74,4458.58,1737.6,1113.36,0.0,0.83,0.19,0.23
2022,8,2022-08-01,2022-08-31 23:00:00,27864.57,19631.95,0.0,14214.97,-4221.34,9781.07,6459.36,2007.27,3321.71,1417.17,438.96,1322.04,100,9,63,400,98.85,6478.24,3345.82,1247.8,0.0,0.81,0.17,0.23
2022,9,2022-09-01,2022-09-30 23:00:00,17066.1,10609.51,0.0,12825.5,-4421.08,8261.59,4434.87,1354.59,3826.72,2590.49,424.8,1523.04,100,9,63,400,162.48,5428.54,2445.07,1055.71,0.0,0.77,0.11,0.18
2022,10,2022-10-01,2022-10-17 23:00:00,3400.72,1911.69,0.0,3308.72,-921.92,3502.37,1851.49,524.75,1650.87,1177.18,240.72,657.05,100,9,63,400,0.45,3698.67,1081.06,809.26,0.0,0.7,0.08,0.14
